,nombre_del_platillo,tiempo_preparacion,porciones,ingredientes,instrucciones,nutricion
993,Galletas de caída de chocolate sin hornear,1 hrs 10 mins,20,"½ taza de leche, 2 tazas de azúcar blanca, ½ taza de mantequilla, ½ taza de cacao en polvo, 3 tazas de avena rápida, ½ taza de coco rallado, ½ taza de mantequilla de maní, 1 cucharadita de extracto de vainilla","Mezcle leche, azúcar, mantequilla y cacao en polvo en una cacerola grande y hierva. Hervir, revolviendo con frecuencia, durante aproximadamente 1 minuto. Retire del fuego y agregue avena, coco, mantequilla de maní y vainilla. Mezcle bien.
Deje caer bolas de masa de galletas del tamaño de una cucharada sobre papel encerado y deje enfriar en el refrigerador durante al menos 1 hora.","Total de grasa 10G 13%, grasa saturada 5G 24%, colesterol 13mg 4%, sodio 72mg 3%, carbohidrato total 32 g 12%, fibra dietética 2G 9%, azúcares totales 22G, proteína 4G, calcio 21mg 2%, hierro 1mg 6% , Potasio 138mg 3%"
994,Bollos de coco guyaneses,,24,"2 tazas de harina para todo uso, 1 taza de azúcar blanca, 1 cucharadita de polvo de hornear, ½ cucharadita de sal, 1 taza de mantequilla, cortado en trozos, 2 huevos, ½ taza de leche, 1 cucharadita de extracto de vainilla, ½ cucharadita de extracto de almendra, ¾ taza","Precaliente el horno a 350 grados F (175 grados C).
En un tazón grande, revuelva la harina, el azúcar, el polvo de hornear y la sal. Agregue mantequilla y corte con una licuadora de pastelería o un tenedor hasta que la mezcla se asemenda a las migajas finas. En un tazón aparte, mezcle los huevos, la leche, el extracto de vainilla y el extracto de almendras. Haga un pozo en el centro de los ingredientes secos y vierta los ingredientes húmedos. Agregue coco y mezcle lo suficiente para mezclar. Pase por cucharadas redondeadas en sábanas de galletas sin engrosar.
Hornee durante 20 minutos en el horno precalentado, o hasta que estén doradas.","Total de grasa 10G 13%, grasa saturada 7G 34%, colesterol 36 mg 12%, sodio 133mg 6%, carbohidrato total 17G 6%, fibra dietética 1G 3%, azúcares totales 9G, proteína 2g, vitamina C 0mg 1%, calcio 24 mg 2 mg 2% %, Hierro 1 mg 4%, potasio 43mg 1%"
995,Limber de Coco (hielo de coco),8 hrs 5 mins,4,"½ (14 onzas) lata de leche de coco, ½ (12 onzas líquidas) puede evaporar la leche, ¼ de taza de azúcar blanca, 1 cucharadita de extracto de vainilla, ½ cucharadita de canela molida","Mezcle la leche de coco, la leche evaporada, el azúcar, el extracto de vainilla y la canela en un tazón o una licuadora hasta que el azúcar se disuelva y la mezcla se combine completamente.
Vierta la mezcla en bandejas de hielo o moldes de paletas. Congele 8 horas para pasar la noche.","Total de grasa 14g 18%, grasa saturada 11g 57%, colesterol 14mg 5%, sodio 57mg 2%, carbohidrato total 19G 7%, fibra dietética 1G 3%, azúcares totales 17G, proteína 4G, vitamina C 1 mg 7%, calcio 135mg 10mg 10 mg %, Hierro 2mg 9%, potasio 254 mg 5%"
996,Glaseado de queso de crema de coco,15 mins,20,"1 (8 onzas) Packle Crema Cheese, ablandado, ½ taza de mantequilla sin sal, ablandada, 4 tazas de azúcar de confitores, 2 cucharadas de crema espesa, ½ cucharadita de sal, ½ cucharadita de sabor a coco, 1 cucharadita de extracto de vainilla, ½ taza de coco triturada, 1 taza de coco triturado endulzada, tostada","Batir el queso crema y la mantequilla en un tazón para mezclador hasta que esté ligero y esponjoso. Agregue gradualmente el azúcar de los confectores, una taza a la vez, alternando con crema espesa. Batir en la sal, el sabor a coco y el extracto de vainilla. Continúe latiendo hasta que la mezcla sea suave y propagable. Agregue el azúcar de los confectores adicionales si es necesario para espesar el glaseado, o más crema para adelgazar. Agregue el coco. Si lo desea, la cuchara tostó el coco de manera uniforme sobre el pastel helado.","Total de grasa 11g 14%, grasas saturadas 7G 36%, colesterol 27 mg 9%, sodio 109mg 5%, carbohidrato total 28g 10%, fibra dietética 1G 2%, azúcares totales 27 g, proteína 1 g, calcio 12%, hierro 0mg 1%1% , Potasio 37mg 1%"
997,Galletas ANZAC (galletas australianas de coco),,12,"1 taza de avena de cocción rápida, ¾ taza de coco en bandeja, 1 taza de harina para todo uso, 1 cucharadita de bicarbonato de sodio, 1 taza de azúcar blanco, ½ taza de mantequilla, 1 cucharada de jarabe dorado, 2 cucharadas de agua hirviendo","Mezcle avena, harina, azúcar y coco juntos.
En una cacerola pequeña a fuego lento, derrita el jarabe y la mantequilla. Mezcle el refresco y el agua hirviendo y agregue a la mantequilla derretida y el jarabe.
Agregue la mezcla de mantequilla a los ingredientes secos. Pase por cucharaditas en sábanas de galletas engrasadas (o papel para hornear).
Hornee a 350 grados F (175 grados C) durante 18 a 20 minutos.","Total de grasa 10G 12%, grasa saturada 6 g 31%, colesterol 20mg 7%, sodio 174mg 8%, carbohidrato total 33g 12%, fibra dietética 1 g 5%, azúcares totales 19G, proteína 2g, calcio 8 mg 1%, hierro 1 mg 4% , Potasio 55mg 1%"
998,Galletas de calabaza de arándano,35 mins,36,"1 taza de azúcar blanca, ½ taza de mantequilla, ablandado, 1 taza de puré de calabaza de paquete sólido, 1 huevo grande, 1 cucharadita de extracto de vainilla, 2 ¼ tazas de harina para todo uso, 2 cucharaditas para hornear polvo, 1 cucharadita de bicarbonato de sodio, 1 cucharadita de canela molida ½ cucharadita de sal, 1 taza de arándanos frescos a la mitad, ½ taza de nueces picadas, 1 cucharada de ralladura de naranja","Precaliente el horno a 375 grados F (190 grados C). Engrase dos sábanas de galletas.
Crema de azúcar y mantequilla en un tazón grande con una batidora eléctrica hasta que estén ligeras y esponjosas. Mezcle el puré de calabaza, el huevo y la vainilla.
Tamizar la harina, el polvo de hornear, el bicarbonato de sodio, la canela y la sal en un tazón mediano. Revuelva la mezcla de harina en la mezcla de calabaza hasta que esté bien mezclado. Agregue arándanos, nueces y ralladura de naranja. Coloque la cucharadita de la masa a 2 pulgadas de distancia en las bandejas para hornear preparadas.
Hornee en el horno precalentado hasta que los bordes estén dorados, de 10 a 12 minutos.
Retire del horno y transfiera a las rejillas de alambre para que se enfríen.","Total de grasa 4G 5%, grasa saturada 2G 9%, colesterol 12mg 4%, sodio 131mg 6%, carbohidrato total 13 g 5%, fibra dietética 1G 3%, azúcares totales 6G, proteína 1 g, vitamina C 1 mg 5%, calcio 22mg 2 mg 2 mg 2 de %, Hierro 1 mg 3%, potasio 36 mg 1%"
999,Morir por muffins de arándanos,35 mins,8,"1 ½ tazas de harina para todo uso, ¾ taza de azúcar blanca, 2 cucharaditas en polvo de hornear, ½ cucharadita de sal, ? taza de aceite vegetal, 1 huevo, ? taza de leche o más según sea necesario, 1 taza de arándanos frescos","Precaliente el horno a 400 grados F (200 grados C). Engrase 8 tazas de muffins o línea con revestimientos de papel.
Para las magdalenas: bate la harina, el azúcar, el polvo de hornear y la sal en un tazón grande.
Vierta el aceite en una pequeña taza de líquido. Agregue huevo y suficiente leche para alcanzar la marca de 1 taza; Revuelva hasta que esté combinado. Vierta en la mezcla de harina y mezcle hasta que se combine la masa. Doblar en arándanos; Deja el bateador a un lado.
Para la cobertura de migajas: combine el azúcar, la harina, la mantequilla y la canela en un tazón pequeño. Mezcle con un tenedor hasta que se desmorone.
Coloque la masa en las tazas de muffins preparadas, llenándose directamente hasta la parte superior. Espolvorea con topping de migas.
Hornee en el horno precalentado hasta que un palillo insertado en el centro de un muffin salga limpio, de 20 a 25 minutos.











Dianne
","Total de grasa 16G 21%, grasa saturada 5G 26%, colesterol 39mg 13%, sodio 322mg 14%, carbohidrato total 57 g 21%, fibra dietética 1G 5%, azúcares totales 34 g, proteína 4G, vitamina C 2mg 9%, calcio 95mg 7 7 %, Hierro 2mg 9%, potasio 73 mg 2%"
1000,Ensalada de fruta de verano perfecta,3 hrs 30 mins,10,"? Copa de jugo de naranja fresca, ? Copa de jugo de limón fresco, ? Copa de azúcar morena empaquetada, ½ cucharadita de ralladura de naranja rallada, ½ cucharadita de ralladura de limón rallado, 1 cucharadita de extracto de vainilla","Para la salsa: traiga jugo de naranja, jugo de limón, azúcar morena, ralladura de naranja y ralladura de limón a ebullición en una cacerola a fuego medio-alto. Reduzca el fuego a medio-bajo y cocine a fuego lento hasta que esté ligeramente engrosado, aproximadamente 5 minutos. Retire del fuego y agregue el extracto de vainilla. Ponga a un lado para enfriar.
Para la ensalada: capa de fruta en un tazón de vidrio grande y transparente en este orden: piña, fresas, frutas de kiwi, plátanos, naranjas, uvas y arándanos. Vierta la salsa enfriada sobre la fruta; Cubra y refrigere de 3 a 4 horas antes de servir.









","Total de grasa 1 g 1%, grasa saturada 0 g 1%, sodio 5 mg 0%, carbohidrato total 39G 14%, fibra dietética 5G 16%, azúcares totales 29 g, proteína 2G, vitamina C 94mg 471%, calcio 45mg 3%, hierro 1 mg 3 %, Potasio 451mg 10%"
1001,Mermelada de fresa,40 mins,40,"2 libras de fresas frescas, con cascos, 4 tazas de azúcar blanco, ¼ de taza de jugo de limón","Aplasta fresas en un tazón ancho en lotes hasta que tengas 4 tazas de puré de bayas.
Combine el puré de fresas, el azúcar y el jugo de limón en una cacerola de fondo pesado; Revuelva a fuego lento hasta que el azúcar se disuelva. Aumente el calor a alto y ponga la mezcla a un hervor completo. Continúe herviendo, revolviendo con frecuencia, hasta que la mezcla alcance 220 grados F (105 grados C).
Revise la donación después de 10 a 15 minutos dejando caer una pequeña cucharada de mermelada en un plato congelado. Deje reposar durante 1 a 2 minutos; Si JAM parece gel, está listo. Continúe cocinando si la mermelada parece delgada y líquida.
Transfiera la mermelada a frascos estériles calientes, llenándose a 1/4 de pulgada de la parte superior. Cubra con las tapas y los anillos de tornillo con fuerza.
Coloque una rejilla en el fondo de una serie grande y llénelo a mitad de camino con agua. Llevar a ebullición y más frascos de distancia a 2 pulgadas en el agua hirviendo con un soporte. Vierta más agua hirviendo para cubrir frascos por al menos 1 pulgada. Llevar a ebullición, cubrir y procesar durante 10 minutos. Retire los frascos de la serie y deje reposar, a varias pulgadas de distancia, durante 12 a 24 horas. Almacene en un área fresca y oscura.











Idalyzme
","Total de grasa 0g 0%, sodio 0 mg 0%, carbohidrato total 22 g 8%, fibra dietética 1G 2%, azúcares totales 21 g, proteína 0 g, vitamina C 14 mg 70%, calcio 4 mg 0%, hierro 0 mg 1%, potasio 37mg 1%1%"
1002,Ensalada de Pretzel con fresas,2 hrs 30 mins,12,"2 tazas de pretzels triturados, ¾ taza de mantequilla, derretida, 3 cucharadas de azúcar blanca, 1 (8 onzas) de queso crema de paquete, suavizado, 1 taza de azúcar blanca, 1 (8 onzas) recipiente congelado batido, descongelado, 2 (3 onzas) paquetes Jell-O® con sabor a fresa, 2 tazas de agua hirviendo, 2 (10 onzas) paquetes de fresas congeladas","Precaliente el horno a 400 grados F (200 grados C).
Revuelva los pretzels triturados, la mantequilla derretida y 3 cucharadas de azúcar hasta que estén bien combinados; Mezcle bien y presione la mezcla en el fondo de una fuente para hornear de 9x13 pulgadas.
Hornee en el horno precalentado hasta que esté listo, aproximadamente de 8 a 10 minutos; Ponga a un lado para enfriar.
Coloque el queso crema y 1 taza de azúcar en un tazón grande. Batir con una batidora eléctrica hasta que esté suave; Doblar en cobertura batida. Extienda la mezcla en la corteza enfriada.
Disolver gelatina en agua hirviendo. Agregue las fresas aún congeladas y deje establecer brevemente. Vierta y extienda sobre la capa de queso crema; Refrigere hasta que establezca, al menos 2 horas.











Humilde
","Total de grasa 23g 30%, grasas saturadas 16G 78%, colesterol 51mg 17%, sodio 442mg 19%, carbohidrato total 52g 19%, fibra dietética 1G 5%, azúcares totales 38 g, proteína 5G, vitamina C 19MG 96%, calcio 33mg 3 3 %, Hierro 1 mg 7%, potasio 119mg 3%"
1003,Pastel de arándanos casero,1 hrs 15 mins,8,"¾ taza de azúcar blanca, 3 cucharadas de maicena, ½ cucharadita de canela molida, ¼ cucharadita de sal, 4 tazas de arándanos frescos, 1 (14.1 onzas) paquete de pastel de doble corteza, descongelado, 1 cucharada de mantequilla","Coloque una rejilla del horno a la posición más baja y precaliente el horno a 375 grados F (190 grados C).
Mezcle el azúcar, la maicena, la canela y la sal en un tazón; Espolvorea sobre los arándanos.
Forre un plato de pastel con una corteza de pastel. Vierta la mezcla de bayas en la corteza y salpique con mantequilla. Corte la masa restante en tiras de 1/2 a 3/4 pulgadas de ancho. Use las tiras para tejer una red de celosía. Agarra y flauta los bordes.
Hornee el pastel en la rejilla del horno más baja hasta que el relleno esté burbujeante y la corteza esté dorada, aproximadamente 50 minutos.











justamomo
","Total de grasa 17G 21%, grasa saturada 5G 24%, colesterol 4 mg 1%, sodio 318mg 14%, carbohidrato total 53g 19%, fibra dietética 4G 13%, azúcares totales 26 g, proteína 3G, vitamina C 7mg 35%, calcio 11mg 1 1 %, Hierro 2mg 8%, potasio 86mg 2%"
1004,Supreme Strawberry Topping,30 mins,4,"1 pinta fresas frescas, con cascos y a la mitad, ? taza de azúcar blanca, 1 cucharadita de vainilla (opcional)","Combine las fresas, el azúcar y la vainilla en una cacerola a fuego medio-alto. Cocine, revolviendo ocasionalmente, hasta que la mezcla chisporrotea y jugo comience a formarse.
Continuar revolviendo; Mash algunas fresas con una cuchara de madera o una espátula a prueba de calor para ayudar a producir el jarabe. Cocine hasta que la salsa se espese, aproximadamente 15 minutos. Retirar del fuego.
Transfiera 1/3 de la salsa de fresa a una licuadora. Cubra y mantenga la tapa hacia abajo con un baches mientras purifica la mezcla.
Agregue la mezcla de puré nuevamente a la salsa restante y revuelva hasta que esté mezclada.











Dotdash Meredith Food Studios
","Total de grasa 0g 0%, sodio 1 mg 0%, carbohidrato total 24 g 9%, fibra dietética 2G 6%, azúcares totales 21 g, proteína 1 g, vitamina C 53mg 263%, calcio 15 mg 1%, hierro 0mg 2%, potasio 139mg 3%%, 3%"
1005,Pastel de arándano sin corteza,55 mins,8,"1 taza de harina para todo uso, 1 taza de azúcar blanca, ¼ cucharadita de sal, 2 tazas de arándanos, ½ taza de nueces picadas, ½ taza de mantequilla, derretido, 2 huevos grandes, batidos, 1 cucharadita de extracto de almendra","Precaliente el horno a 350 grados F (175 grados C). Engrase un molde para pastel de 9 pulgadas.
Combine la harina, el azúcar y la sal en un tazón. Agregue arándanos y nueces, y mezcle para cubrir. Agregue la mantequilla derretida, los huevos batidos y el extracto de almendras. Extienda la masa en la sartén preparada.
Hornee en el horno precalentado hasta que un palillo insertado cerca del centro llegue nuestro limpio, aproximadamente 40 minutos. Servir caliente.











Victoria Jempty/Allrecipes
","Total de grasa 18G 23%, grasa saturada 8G 41%, colesterol 77mg 26%, sodio 173 mg 8%, carbohidrato total 41g 15%, fibra dietética 2G 8%, azúcares totales 26 g, proteína 5G, vitamina C 4 mg 19%, calcio 22 mg 2 %, Hierro 1 mg 7%, potasio 93mg 2%"
1006,Cranberry de manzana,1 hrs 5 mins,8,"2 libras de manzanas Granny Smith: peladas, con núcleo y en rodajas finas, ¾ taza de arándanos, ¼ de taza de azúcar blanca, 1 cucharada de canela molida, 1 cucharadita de nuez moscada","Precaliente el horno a 375 grados F (190 grados C.) Mantequilla Una fuente para hornear cuadrada de 8 pulgadas.
Mezcle manzanas, arándanos, azúcar blanca, canela y nuez moscada en un tazón grande. Coloque en una capa uniforme en la fuente para hornear preparada.
En el mismo tazón, combine la avena, la harina y el azúcar moreno para la cobertura. Agregue trozos de mantequilla y mezcle con un tenedor hasta que se desmorone. Agregue las nueces. Espolvorea la cobertura sobre las manzanas en la fuente para hornear.
Hornee en el horno precalentado hasta que las manzanas estén tiernas y la cobertura esté dorada, de 40 a 50 minutos.","Total de grasa 12g 15%, grasa saturada 4G 22%, colesterol 15 mg 5%, sodio 47mg 2%, carbohidrato total 43g 16%, fibra dietética 4G 16%, azúcares totales 32 g, proteína 2g, vitamina C 7mg 36%, calcio 37mg 3 %, Hierro 1 mg 6%, potasio 207mg 4%"
